ID,Name in English,Countries,Country codes alpha 3,Degree of endangerment,Number of speakers,Latitude,Longitude,Description of the location
399,Piedmontese,Italy,ITA,Definitely endangered,2000000,45.2013,7.8662,"Piedmont Region except the Novara Province, the western Alpine valleys and southern border areas, as well as minor adjacent areas"
1021,Venetan,"Croatia, Italy, Slovenia","HRV, ITA, SVN",Vulnerable,2000000,45.4601,12.1948,"Veneto region, parts of Friuli-Venezia Giulia, Italy; Istria in both Slovenia and Croatia"
1985,Zazaki,Turkey,TUR,Vulnerable,2000000,38.8824,40.4846,"Tunceli, Erzincan, Elazığ and Bingöl provinces, Hınıs district of Erzurum Province, the eastern parts of Sivas Province, Varto district of Muş Province, Sarız district of Kayseri Province, the northern and western parts of Diyarbakır Province, Siverek district of Şanlıurfa Province as well as small areas in adjacent provinces. Many immigrants in Europe."
1591,Kurux (India),India,IND,Vulnerable,1751489,22.1467,85.2758,Jharkhand and Bihar
2065,Tamajeq,Niger,NER,Vulnerable,1750000,17.2352,8.0859,
1585,Tulu,India,IND,Vulnerable,1722768,12.0178,75.7067,"Karnataka, Andhra Pradesh, Kerala"
1556,Kangdi,India,IND,Definitely endangered,1700000,32.4356,76.1242,Himachal Pradesh
410,Scots,United Kingdom of Great Britain and Northern Ireland,GBR,Vulnerable,1500000,56.2189,-3.7683,Lowland Scotland and adjacent parts of England; émigré communities in Ireland
1026,Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","ALB, BGR, MKD, ROU, SRB",Vulnerable,1500000,42.9644,22.1374,"the core area: south-eastern Serbia, the westernmost parts of Bulgaria, the north-eastern region of the FYROM and, at least until recently, parts of southern Kosovo (Serbia); Goran: the border region of Kosovo, Albania and the FYROM; Janjev: south-eastern Kosovo (Serbia), from where most speakers have emigrated to Croatia; Krashovan: the region of Caraşova in Caraş-Severin County in the Romanian Banat"
1476,West Flemish,"Belgium, France, Netherlands","BEL, FRA, NLD",Vulnerable,1500000,51.0275,3.0541,"the province of Zealand, the Netherlands; West Flanders, Belgium; and French Flanders, where definitively if not severely endangered"
334,Bashkir,Russian Federation,RUS,Vulnerable,1379727,54.7309,55.9863,the Republic of Bashkortostan and adjacent regions
1067,Chechen,Russian Federation,RUS,Vulnerable,1331844,43.1971,45.7031,the Republic of Chechenia and adjacent regions
338,Chuvash,Russian Federation,RUS,Vulnerable,1325382,56.1394,47.2412,Chuvash Republic and adjacent regions
1227,Meithei,India,IND,Vulnerable,1250000,24.7667,93.8946,"Manipur (throughout, but concentrated in the Manipur valley)
 "
1114,Tamang,"India, Nepal","IND, NPL",Vulnerable,1196639,27.7365,85.6858,"Dispersed throughout central and eastern hills of Nepal. Bāgmatī, Nārāyaṇī and Janakpur zones, in Kābhrepālañcok, Makvānpur, SIndhupālcok, Nuvākoṭ, Dhādiṅ, Sindhulī, Rāmechāp, Bagmatī, Dolakhā and Rasuvā districts. Also found in India (Sikkim)."
1013,Quechua of Cuzco,Peru,PER,Vulnerable,1115000,-13.4537,-72.0098,"Cuzco, partes de  Arequipa, Puno, Apurímac (Abancay), Moquegua (Ubinas)."
1024,Eastern Slovak,"Slovakia, Ukraine","SVK, UKR",Vulnerable,1000000,48.8068,21.7968,"Spiš, Šariš, Zemplín and Abov regions in eastern Slovakia; a regional language not recognized by the SIL"
377,Ligurian,"France, Italy, Monaco","FRA, ITA, MCO",Definitely endangered,1000000,44.5748,8.7011,"Liguria and adjacent areas of Piedmont, Emilia and Tuscany, Italy; the villages of Tende, La Brigue, Fontan, Saorge, Breil-sur-Roya in the eastern corner of the department of Alpes-Maritimes, France; settlements in the towns of Carloforte on the San Pietro island and Calasetta on the Sant’Antioco island off the southwest coast of Sardinia, Italy, as well as in the town of Bonifacio in Corsica; until the twentieth century also Monaco, where Ligurian is still used and studied as a second language, and the villages of Biot, Vallauris, Mons and Escragnoles in the department of Alpes-Maritimes, France"
407,Rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR",Vulnerable,1000000,48.4437,22.9394,Trans-Carpathian region of Ukraine
1515,Talysh,"Azerbaijan, Iran (Islamic Republic of)","AZE, IRN",Vulnerable,1000000,38.814,48.6804,"the northern regions of Gilan and Ardabil provinces, Iran; the southernmost parts of Azerbaijan"
1577,Kui,India,IND,Vulnerable,916222,19.5908,83.9575,"Orissa (Phulbani, Koraput, Ganjam); also in Andhra Pradesh and Madhya Pradesh"
1231,Khasi,India,IND,Vulnerable,912000,25.691,91.8676,eastern half of Meghalaya
1229,Bodo,India,IND,Vulnerable,900000,26.7554,92.8674,"north bank of the Brahmaputra, Sonitpur and Darrang districts"
337,Campidanese,Italy,ITA,Definitely endangered,900000,39.2991,8.9868,southern Sardinia
1803,K'iche' (Guatemala),Guatemala,GTM,Vulnerable,890596,15.0309,-91.1485,"Among the localities listed in the Ethnologue: El Quiché dept., Quetzaltenango, Cunén, Chichicastenango, Joyabaj, San Andrés Sajeabajá, Atitlán in Quetzaltenango dept.; Totinicapán dept, Santa Cruz Quiché"
989,Quechua of Ayacucho,Peru,PER,Definitely endangered,850000,-13.1276,-74.2071,"Departamentos de Ayacucho, Huancavelica y partes de  Apurimac y Arequipa."
1117,Newar,Nepal,NPL,Definitely endangered,825458,27.6981,85.3198,Kathmandu valley
2222,Mon,"Myanmar, Thailand","MMR, THA",Vulnerable,800000,16.4666,97.7833,
1523,Polesian,"Belarus, Poland, Ukraine","BRB, POL, UKR",Vulnerable,800000,51.8629,23.9501,"the south-west of Belarus, the north-west of the Ukraine and adjacent Poland; a regional language not recognized by the SIL"
701,Tamaceq,Mali,MLI,Definitely endangered,800000,16.7992,-3.0102,"Central, and northeast Mali, Kidal, Tombouctou areas. 
Also spoken in Algeria, Burkina Faso
"
1069,Avar,Russian Federation,RUS,Vulnerable,784840,42.4801,46.8017,parts of the Republic of Daghestan
1211,Mundari,India,IND,Vulnerable,750000,22.3297,86.0449,"Jharkhand, mainly in  Ranchi Dt.; some speakers in Madhya Pradesh"
425,Welsh,United Kingdom of Great Britain and Northern Ireland,GBR,Vulnerable,750000,52.4459,-3.5485,Wales and adjacent parts of England; émigré communities in Patagonia
1202,Angika,"India, Nepal","IND, NPL",Vulnerable,740892,24.7451,85.3124,Bihar and Jharkhand
1827,Q'eqchi' (Guatemala),Guatemala,GTM,Vulnerable,716101,15.4707,-90.3722,"Uspantán, Cobán, Panzós, Senahú, San Pedro Carchá, San Juan Chamelco, Lanquín, Cahabón, Chisec, Chahal, San Luis Sayaxché, El Estor, Livingston"
398,Picard,"Belgium, France","BEL, FRA",Severely endangered,700000,50.2331,2.7905,"the regions of Picardy (Picardie) and Nord-Pas-de-Calais, France; the area extending from Tournai to Mons in the western part of the province of Hainaut, Belgium"
1228,Kokborok,"Bangladesh, India","BGD, IND",Vulnerable,695000,23.7752,91.6918,"Triupura, and Karimjang Dt. of Assam"
415,Basque,"Spain, France","ESP, FRA",Vulnerable,660000,43.133,-2.0764,"Basque Autonomous Region (the provinces of Bizkaia, Gipuzkoa and Araba) and the autonomous province of Navarre, Spain; Labourd, Basse-Navarre and Soule in the department of Pyrénées-Atlantiques, France"
1065,Kabard-Cherkes,"Russian Federation, Turkey","RUS, TUR",Vulnerable,650000,43.7393,43.4289,the Kabard-Balkar Republic and the Karachay-Cherkes Republic in the Russian Federation as well as diaspora communities in Turkey and the Middle East
1559,Mandeali,India,IND,Definitely endangered,611930,31.4099,76.9921,Himachal Pradesh
353,Friulian,Italy,ITA,Definitely endangered,600000,46.1037,13.1396,"the Autonomous Region Friuli-Venezia Giulia except Trieste Province and western and eastern border regions, and Portogruaro area in Venezia Province in Veneto Region; also spoken in émigré communities in Romania and elsewhere"
997,Quechua of Ancash and Huánuco,Peru,PER,Definitely endangered,600000,-9.4598,-77.1789,"Zona central del Perú, departamentos de  Ancash Y Huánuco."
1947,Walloon,"Belgium, France, Luxembourg","BEL, FRA, LUX",Definitely endangered,600000,50.4575,4.8559,"the greater part of the province of Liège, the southern part of the province of Brabant, the province of Namur, the northern part of the province of Luxembourg and the eastern part of the province of Hainaut, Belgium; the north of the department of Ardennes (town of Givet), France, where severely endangered; formerly also in two or three villages (Doncols, Sonlez) in Luxemburg, where the last speakers died in the 1970s"
1091,Mising,India,IND,Definitely endangered,550000,26.9612,94.0539,"Assam, mostly Lakhimpur, Sonitpur and Dhemaji districts; some speakers also live across the border in Arunachal Pradesh
"
1066,Ossete,"Georgia, Russian Federation","GEO, RUS",Vulnerable,550000,42.9564,44.4946,North Ossetia and South Ossetia
1230,Mizo,India,IND,Vulnerable,529000,22.9988,92.9223,"throughout Mizoram; Manipur, Churachandpur Dt. Also spoken in Burma"
1070,Dargwa,Russian Federation,RUS,Vulnerable,503523,42.1145,47.4938,parts of the Republic of Daghestan
331,Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","ALB, BGR, GRC, MKD, SRB",Definitely endangered,500000,40.2292,21.1376,"Thessaly and Epirus in northern Greece; the central parts of Albania; several small pockets in the FYROM, Greece and Bulgaria; immigrant groups deriving from the eighteenth century in Serbia, especially between Niš and Kladovo; many Aromanian immigrants since the early twentieth century also in Romania"
2485,Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan","IRN, PAK, AFG",Vulnerable,500000,29.0369,66.5826,"Kalat district and parts of Hyderabad, Karachi and Khairpur districts; also small communities in Afghanistan and Iran"
375,Languedocian,France,FRA,Severely endangered,500000,43.8899,2.5378,"an area from Bordeaux in the northwest to Montpellier in the southeast, and from Toulouse in the southwest to Rodez in the northeast, covering the departments of Aveyron, Lot, Lot-et-Garonne, Tarn-et-Garonne, Tarn, Aude, Hérault, the eastern parts of Haute-Garonne and Ariège, the southern parts of Dordogne, the Aurillac region of Cantal, the western parts of Gard, and smaller areas in Lozère, Pyrénées-Orientales, and Gironde; the original ISO code [lnc] for Languedocian has been retired and replaced with [oci] on false grounds"
1072,Lezgian,"Azerbaijan, Russian Federation","AZE, RUS",Vulnerable,500000,41.4921,48.0541,southern Daghestan in the Russian Federation; northern Azerbaijan
1558,Mahasui,India,IND,Definitely endangered,496024,31.2738,77.1295,Himachal Pradesh
1118,Magar,Nepal,NPL,Definitely endangered,489383,28.0816,83.4301,"Pālpā, Syāṅjā, Tanahũ and Gorkhā districts."
1822,Mam (Guatemala),Guatemala,GTM,Vulnerable,477717,14.9305,-91.9078,"Towns of Tejumulco and Ichiguán in Huehuetenango; towns of San Miguel Ixtahuacán, Concepción Tutapa and others in
San Marcos dept; San Sebastián, town of Todos Santos Cuchumatán and other towns in Huehuetenango dept., Quetzaltenango dept., Retalhuleu dept, San Juan Ostuncalco, San Martín Sacatepequez and other towns in Ostuncalco"
418,Udmurt,Russian Federation,RUS,Definitely endangered,463837,57.2315,52.8662,"the Udmurt Republic and parts of Tatarstan, the Republic of Mariy-El, Bashkortostan, and Kirov (Vyatka) and Perm’ provinces"
1506,Huasteca Náhuatl,Mexico,MEX,Vulnerable,463183,21.3835,-98.9902,"Locality of Xilitla and others in the municipality of Tamazunchale, municipalities of Cuatlamayán, Coxcatlán, and others in the state of San Luis Potosí; municipalities of Platón Sánchez, Chicontepec, Álamo, Ixhuatlán de Madero in the state of Veracruz; municipality of Francisco Z. Mena in the state of Puebla; municipalities of Tepehuacán de Guerrero, Huautla, Yahualica, Xoxiatipan, Tianguistengo, Zacualtipan and Metzquititlán in the state of Hidalgo"
1074,Kumyk,Russian Federation,RUS,Vulnerable,458121,43.397,46.9775,parts of the Republic of Daghestan
508,Yakut,Russian Federation,RUS,Vulnerable,456288,62.3496,130.8691,the Republic of Sakha (Yakutia)
1801,Kaqchikel (Guatemala),Guatemala,GTM,Vulnerable,444954,14.7814,-90.7925,"Among the many localities listed in Ethnologue: Acatenango in the municipality of Acatenango, Chimaltenango department; Sacatepéquez department; San Martín in municipality of Jilotepeque; Chimaltenango in municipality of Santa María de Jesús, Santo Domingo Xenacoj, Antigua, department of Sololá"
1165,Karbi,India,IND,Vulnerable,420000,26.2934,93.2299,"Assam, Karbi Anglong, Kamrup and Nowgong districts; Meghalaya, Jaintia, and East Khasi Hills districts; Nagaland, around Dimapur."
347,Eastern Mari,Russian Federation,RUS,Definitely endangered,414211,56.632,47.8784,"central and eastern parts of the Republic of Mariy-El and parts of Bashkortostan, Tatarstan, the Udmurt Republic, and Yekaterinburg, Perm’ and Orenburg provinces"
1068,Ingush,Russian Federation,RUS,Vulnerable,405343,43.145,45.1043,the Republic of Ingushetia and adjecent regions
350,Erzya,Russian Federation,RUS,Definitely endangered,400000,54.1302,45.4394,"the eastern parts but also small pockets in the northwest and south of the Republic of Mordovia; also several areas in Nizhniy Novgorod, Samara, Saratov and Orenburg provinces, Tatarstan and Bashkortostan"
1212,Ho,India,IND,Vulnerable,400000,21.637,86.4404,"Jharkhand, Singhbhum Dt.; Orissa, Mayurbhanj and Koenjhar districts; West Bengal. "
2165,Judezmo (Israel),Israel,ISR,Severely endangered,400000,32.0872,34.7737,"resettled communities in Israel where the majority of the speakers live, and in the United States and several European countries; cf. Judezmo (Europe)"
534,Lalo,China,CHN,Vulnerable,400000,25.383,99.9426,
378,Limousin,France,FRA,Severely endangered,400000,46.0579,1.8017,"the departments of Corréze and Haute-Vienne, most of Creuse, the northern parts of Dordogne, and the eastern parts of Charente; the original ISO code [lms] for Limousin has been retired on false grounds"
381,Logudorese,Italy,ITA,Definitely endangered,400000,40.1116,9.1845,central Sardinia
626,Mapuche (Chile),Chile,CHL,Definitely endangered,400000,-38.5653,-73.081,"Región La Araucanía (provinces of Cautín and Malleco). Provinces of Arauco, Bío-Bío and Valdivia. Dispersed areas in Argentina: Neuquén, Chubut, La Pampa, Buenos Aires."
1503,Central Náhuatl,Mexico,MEX,Vulnerable,395581,19.191,-99.0236,"Locality of Milpa Alta and others with few remaining speakers in the south of the Distrito Federal; several municipalities in the state of Mexico such as Tianguistenco, Jalatlaco, Coyotepec and Huehuetoca; municipalities of Chiautempan, Mazatecocho, Contla and othes in the state of Tlaxcala; several municipalities in the state of Puebla such as Atlixco and Huejotzingo;  in the state of Hidalgo, municipalities such as Acaxochitlán and Pahuatlán; in the state of Veracruz, several municipalities such as Rafael Delgado and Zongolica; municipality of Teotitlán and others in the state of Oaxaca"
424,Moselle Franconian,"Germany, Belgium, France, Luxembourg","DEU, BEL, FRA, LUX",Vulnerable,390000,49.6071,6.1248,Luxembourg and adjacent regions of neighbouring countries
964,Bantawa,Nepal,NPL,Vulnerable,371056,27.0994,87.0048,"Bhojur district in Nepal.
Bantawa Rai that migrated to Sikkim, India, can be mainly found in the West District (Youksom, Tashiding, Geyzing, Dentam, Rinchenpong, Soreng, Jorthang), South District (Ralong, Damthang, Namchi, Temi, Tarku, Melli) and in the East District (Gangtok, Badong, Rumtek, Pakyong, Rehnok, Regu, Rolep Assam Lingjey).
"
1424,Santa,China,CHN,Vulnerable,360000,35.5411,102.7935,"Dongxiang Autonomous County of Linxia Hui Autonomous Prefecture, Gansu Province; also émigré communities elsewhere in Gansu and in Sinkiang (Xinjiang)"
1057,Mingrelian,Georgia,GEO,Definitely endangered,350000,42.4599,41.7205,western lowlands of Georgia
426,West Frisian,Netherlands,NLD,Vulnerable,350000,53.1006,5.6579,the province of Friesland and the western parts of the province of Groningen
1113,Gurung,Nepal,NPL,Definitely endangered,338925,28.275,84.1782,"Gorkhā , Kāskī, Lamjuṅ , Parbat, Syāṅjā, Tanahũ and Dhādiṅ districts"
295,Guajiro,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",Vulnerable,318500,11.8673,-71.9824,
1075,Karachay-Balkar,Russian Federation,RUS,Vulnerable,302748,44.2137,42.8466,parts of the Karachay-Cherkes Republic and the Kabard-Balkar Republic
1064,Adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey","IRQ, ISR, JOR, MKD, RUS, SYR, TUR",Vulnerable,300000,44.9181,39.7485,"the Republic of Adygea and adjacent regions in the Russian Federation and many diaspora communities in Turkey, the Middle East and Western Europe"
469,Buryat (Trans-Baikal),Russian Federation,RUS,Definitely endangered,300000,50.8336,109.5117,the Republic of Buryatia and Aga (Aginskiy) Buryat Autonomous District and elsewhere in Chita Province
1574,Kurru,India,IND,Definitely endangered,300000,16.6151,81.6284,"Tamil Nadu, Andhra Pradesh and Karnataka"
1578,Kuvi,India,IND,Definitely endangered,300000,18.9478,83.5839,"Orissa (Koraput, Kalahandi, Ganjam, and Phulbani) and Andhra Pradesh"
1028,Limbu,"India, Nepal","IND, NPL",Definitely endangered,300000,27.096,87.7356,"Eastern Nepal, India.
Tehrathum, Ilām, Pāñcthar, Tāplejuṅ, Dhankuṭā districs."
2452,Moroccan Judeo-Arabic (Israel),Israel,ISR,Definitely endangered,300000,32.0476,34.7552,Tel Aviv
401,Plautdietsch,Ukraine,UKR,Definitely endangered,300000,47.0738,35.5545,originally Khortytsya and Molochna near Zaporizhzhya; émigré communities in other parts of the Ukraine and in what is now withing the Russian Federation and further in the Americas; last speakers in the Ukraine were deported during the Second World War to Central Asia and Siberia; many speakers have recently emigrated to Germany; an outlying dialect of Low Saxon
1078,Pontic Greek,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine","ARM, GEO, GRC, RUS, TUR, UKR",Definitely endangered,300000,40.847,40.0149,"originally along the Black Sea coast of Turkey and adjacent Georgia; some speakers remain in the towns of Of and Sürmene, but most have emigrated to Greece; émigré communities also in southern Russia and the Caucasus; an outlying dialect of Greek"
1935,"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Ecuador,ECU,Definitely endangered,300000,-1.8673,-78.9257,"Provinces of: Cotopaxi, Tungurahua (Southwest of the Province), Bolivar (Central Highlands), Chimborazo, counties of Riobamba, Colta, Guamote, Chambo, Guano, Pallatanga, Penipe and Cumandá"
1479,Waxiang,China,CHN,Vulnerable,300000,28.5652,110.3576,western Hunan
1434,Oyrat,"China, Kyrgyzstan, Mongolia","CHN, KGZ, MNG",Definitely endangered,280000,46.195,88.7255,"the Kobdo and Ubsu aimaks of Mongolia; Bortala, Hoboksar, Tarbagatai and Bayangol regions in northern Sinkiang, Kukunor region in Qinghai Province and Alashan (Alshan) League in western lnner Mongolia, China; Chelpek and Boru Bashi, east of lssyk Köl, Kyrgyzstan"
1563,Garhwali,India,IND,Vulnerable,279500,30.0976,79.1235,"Uttarakhand, in Garhwal area"
1380,Bade,Nigeria,NGA,Vulnerable,250000,12.801,11.1181,
336,Breton,France,FRA,Severely endangered,250000,48.2246,-3.9331,western Brittany; many émigré communities
352,Gascon,"Spain, France","ESP, FRA",Definitely endangered,250000,43.1811,-0.1428,"the departments of Landes, Gers, and Hautes-Pyrénées, the eastern parts of Pyrénées-Atlantiques, the western parts of Haute-Garonne and Ariège, and the southern and western parts of Gironde, France; the Aran Valley, northwestern Catalonia, Spain; the original ISO code [gsc] for Gascon has been retired on false grounds"
2245,Phula (China),China,CHN,Vulnerable,250000,22.6001,104.0004,
1205,Sora,India,IND,Vulnerable,250000,19.1244,83.2104,"Orissa, mainly Ganjam Dt., but also Koraput and Phulbani districts. Parts of Andhra Pradesh."
1119,Konyak,India,IND,Vulnerable,248000,26.9367,95.1745,"Nagaland, Mon and Tuensang districts."
1130,Ao,India,IND,Vulnerable,243000,26.4361,94.6472,Wokho and parts of Mokokchung districts
1234,Tuvan,"China, Mongolia, Russian Federation","CHN, MNG, RUS",Vulnerable,242754,51.7134,94.3945,the Republic of Tuva in the Russian Federation and adjacent regions in China and Mongolia
1970,Nafusi,Libyan Arab Jamahiriya,LBY,Severely endangered,240000,32.6393,13.4252,"Language spoken in the regions of Tripolitania, western Libya, isolated area around the towns of Nalut and Yafran, Jabal Nafusah Region, coastal area around Zuara, west of Tripoli."
2232,Suret,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey","ARM, IRN, IRQ, SYR, TUR",Definitely endangered,240000,36.4477,43.2971,"Iraqi Kurdistan, western Iranian Azerbaijan and Kurdistan, northeast Syria near the Turkish border.  Extinct in Turkey.  A large number of speakers are in diaspora in Europe, North and South America, and Australia."
1592,Malto,India,IND,Definitely endangered,224926,23.7853,85.4736,"Jharkhand (Godda, Santhal Pargana), Bihar and West Bengal (Bankura, Barddhaman, and Murshidabad), and also in Orissa (Mayurbhanj)"
1600,Khowar,Pakistan,PAK,Vulnerable,222800,35.8667,71.7956,"Chitral of NWFP; Shandur Pass to Fupis in Ghizr Valley, Yasin and Ishkhoman valleys in Gilgit Agency of Northern Areas of Pakistan."
2481,Maiya,Pakistan,PAK,Vulnerable,220000,35.3151,72.908,Indus Kohistani district
373,Komi,Russian Federation,RUS,Definitely endangered,217316,62.3087,51.5917,"the Komi Republic and parts of Nenets Autonomous District, Arkhangel’sk Province, Yamal Nenets Autonomous District, Murmansk Province and other regions"
365,Alpine Provençal,"France, Italy","FRA, ITA",Definitely endangered,200000,44.7467,6.6796,"the upper valleys of Piedmont (Val Mairo, Val Varacho, Val d’Esturo, Entraigas, Limoun, Vinai, Pignerol, Sestriero), Italy; the departments of Ardèche (except the north and the western border areas), Drôme (except the north), Hautes-Alpes, the northern parts of Alpes de Haute-Provence, and the southernmost parts of Isère, France; severely endangered in France; the original joint ISO code [prv] for Alpine Provençal and Provençal has been retired on false grounds"
355,Gallo,France,FRA,Severely endangered,200000,47.931,-2.0544,"Ille-et-Vilaine, Loire-Atlantique, dans les deux tiers est des Côtes d'Armor et dans le tiers Est du Morbihan."
1384,Gera,Nigeria,NGA,Vulnerable,200000,10.5553,10.0579,
1570,Irula,India,IND,Vulnerable,200000,11.4369,76.5032,"Tamil Nadu, Kerala, Karnataka and Andhra Pradesh"
1204,Kharia,India,IND,Vulnerable,200000,21.8003,85.4956,"Jharkhand, Ranchi, West Singhbhum, and East Singhbhum districts; Chhattisgarh, Raigarh, Jashpur, Durg, Bilaspur and Raipur districts; Orissa, Sundargarh, Sambalpur and Mayurbhanj districts"
847,Khorasani Turk,Iran (Islamic Republic of),IRN,Vulnerable,200000,36.6596,57.854,"Northeast Iran, in the northern part of Khorasan Province, especially northwest of Mashhad."
1210,Korku,India,IND,Vulnerable,200000,20.3034,80.2441,"Madhya Pradesh, Betul, Hoshangabad and East Nimar (Khandwa) Districts; Maharashtra, Amravati, Buldana and Akola districts."
328,Moksha,Russian Federation,RUS,Definitely endangered,200000,54.1817,43.2751,the western parts of the Republic of Mordovia and the adjacent parts of Ryazan’ and Penza provinces; also pockets in Tatarstan and Orenburg Province
7,Western Armenian (Middle East),"Iraq, Lebanon, Syrian Arab Republic","IRQ, LBN, SYR",Definitely endangered,200000,33.884,35.5133,"Primarily in the areas of Beirut, Lebanon and Aleppo, Syria; also in Cairo, Egypt and in Iraq and Turkey.  A large number of speakers are in diaspora, especially in the USA, but also in Canada, Europe, and South America."
2225,Western Cham,Cambodia,KHM,Vulnerable,200000,12.0333,105.4333,
1258,Tshangla,"Bhutan, China, India","BTN, CHN, IND",Vulnerable,193000,27.1275,91.9335,"Eastern Bhutan, in Trashigang, Pêmagatshä, Samdru Jongkhar and Monggar districts.
India, Arunachal Pradesh,Tawang and West Kameng districts.
Southeastern Tibet, Motuo (Medoz, Medog) and Linzhi (Ngingchi) counties.
"
1161,Thado,India,IND,Vulnerable,191000,24.4521,93.2354,"Manipur, Chandel Dt; Nagaland, Kohima District.  Also spoken in Burma, Possibly some speakers also in Mizoram."
389,Gagauz (Bessarabia),"Republic of Moldova, Ukraine","MDA, UKR",Definitely endangered,180000,46.0922,28.7951,"since eighteenth- and nineteenth-century immigration, Gagauz has been spoken in the Bujak region, which covers the towns and surrounding areas of Comrat, Ceadîr-Lunga, Basarabeasca, Taraclia and Vulcăneşti in the south of the Republic of Moldova and the adjacent Izmail region of Odessa (Odesa) Province in the Ukraine"
1557,Kului,India,IND,Definitely endangered,170770,31.4403,77.1487,"Himachal Pradesh, Kulli district"
981,Adi,"China, India","CHN, IND",Vulnerable,170000,28.3527,95.2294,East Siang District; Upper Siang District
1132,Lhota,India,IND,Vulnerable,170000,26.1603,94.3725,"Nagaland, Wokha Dt."
